"player_id","match_id","match_start_time","kills","deaths","assists","win","total_damage_dealt_to_champions","total_damage_taken","gold_earned","champ_level","champion_name","vision_score","nexus_kills","turret_kills","inhibitor_kills","mythic_item","position"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3497030641",1700777033139,7,3,2,TRUE,11668,19433,13229,15,"Irelia",14,1,5,0,6631,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496833443",1700762625911,5,2,2,TRUE,10210,10542,7949,11,"Irelia",5,0,1,0,NA,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496805238",1700760126588,4,7,11,TRUE,31481,36131,16358,18,"Irelia",16,0,3,1,6665,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496774917",1700758216709,8,4,4,TRUE,22371,25349,14840,16,"Irelia",16,0,3,1,NA,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496753902",1700756153380,3,10,6,FALSE,13758,27593,9318,13,"Camille",14,0,2,0,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496535223",1700698757139,5,7,4,TRUE,19271,31518,13478,16,"Camille",18,0,3,0,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496518770",1700696689296,12,3,5,TRUE,34985,27925,17218,17,"Camille",15,0,5,1,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496498028",1700694213172,6,5,5,FALSE,23340,30031,11969,16,"Camille",20,0,2,0,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496487341",1700692159369,11,3,6,TRUE,29320,25108,15599,16,"Camille",21,0,7,0,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496458609",1700689947452,6,8,7,FALSE,25857,29714,12370,16,"Camille",15,0,2,0,3078,"TOP"
